customer_id,age,income,previous_purchases,website_visits,treatment,purchased
C0001,56,25287,1,19,1,0
C0002,46,54387,7,5,0,0
C0003,32,28512,4,17,0,0
C0004,60,21342,0,5,0,0
C0005,25,83076,2,18,0,1
C0006,38,39216,9,11,0,0
C0007,56,113070,7,10,1,0
C0008,36,99767,3,1,0,0
C0009,40,117829,6,14,0,0
C0010,28,46614,9,11,0,0
C0011,28,56258,1,11,1,1
C0012,41,113789,6,8,1,0
C0013,53,62078,4,1,1,0
C0014,57,103524,4,2,0,0
C0015,41,116573,5,11,1,0
C0016,20,32219,8,15,0,1
C0017,39,20235,5,0,0,1
C0018,19,62929,7,2,1,0
C0019,41,87444,6,19,0,0
C0020,61,28567,8,1,0,1
C0021,47,90792,3,8,0,0
C0022,55,85441,1,18,1,0
C0023,19,104555,6,14,0,0
C0024,38,93698,5,17,0,0
C0025,50,25415,0,10,1,1
C0026,29,56159,8,15,0,1
C0027,39,63925,8,16,0,0
C0028,61,25951,1,4,1,0
C0029,42,107388,2,11,0,0
C0030,44,28007,4,10,0,0
C0031,59,61832,4,14,0,0
C0032,45,78596,0,2,0,0
C0033,33,50523,7,0,0,0
C0034,32,108861,7,19,1,1
C0035,64,106740,3,15,1,0
C0036,61,35524,6,1,1,1
C0037,20,39282,9,1,1,0
C0038,54,43930,2,2,0,0
C0039,24,20077,5,7,0,0
C0040,38,40611,9,14,0,0
C0041,26,36984,9,6,0,0
C0042,56,34060,8,5,0,0
C0043,35,102985,0,8,1,1
C0044,21,104056,4,19,1,1
C0045,42,63303,3,0,0,0
C0046,31,79207,7,7,0,1
C0047,26,95046,0,2,0,0
C0048,43,49287,8,3,1,0
C0049,19,113709,5,14,0,0
C0050,37,59711,3,5,0,0
C0051,45,31954,8,14,0,1
C0052,64,93340,4,2,1,0
C0053,24,92101,4,13,0,0
C0054,61,91520,4,19,1,1
C0055,25,107062,0,13,1,0
C0056,64,38574,0,3,1,0
C0057,52,29184,7,11,1,0
C0058,31,39096,7,16,1,0
C0059,34,87728,5,6,1,1
C0060,53,54016,3,8,0,0
C0061,57,31246,1,2,0,0
C0062,21,65558,1,12,0,0
C0063,19,38381,8,14,1,1
C0064,23,56455,4,17,0,0
C0065,59,112263,3,18,1,1
C0066,21,24018,9,0,1,1
C0067,46,31302,0,5,1,1
C0068,35,87506,6,1,0,0
C0069,43,61157,2,13,1,0
C0070,61,74917,5,5,1,0
C0071,51,112738,4,13,0,0
C0072,27,116646,4,3,0,1
C0073,53,103122,4,7,1,0
C0074,31,44519,0,2,1,1
C0075,48,116809,0,18,0,1
C0076,32,107487,2,13,0,1
C0077,25,76819,9,19,0,1
C0078,31,100910,3,16,1,1
C0079,40,91324,4,7,0,1
C0080,57,25408,1,13,0,1
C0081,38,79379,7,5,0,1
C0082,33,45053,1,15,1,0
C0083,62,29446,8,18,0,0
C0084,35,20922,1,13,0,0
C0085,64,118723,8,18,0,1
C0086,41,71356,6,2,0,0
C0087,43,30789,7,9,0,0
C0088,42,117720,1,18,1,1
C0089,62,86656,6,8,1,1
C0090,58,64028,5,19,1,1
C0091,46,84484,3,12,0,1
C0092,32,52154,6,6,1,1
C0093,62,102870,3,13,1,1
C0094,18,22336,1,8,1,0
C0095,42,87779,9,18,0,1
C0096,24,39029,6,14,0,1
C0097,26,79201,7,19,1,0
C0098,41,52265,1,13,1,1
C0099,18,63872,4,5,0,0
C0100,61,66197,0,3,0,0
C0101,25,75180,6,7,1,1
C0102,41,43710,7,16,0,1
C0103,28,49486,5,8,1,0
C0104,34,91907,4,0,0,0
C0105,25,91895,5,19,1,0
C0106,52,84435,1,13,1,0
C0107,52,60631,0,10,0,1
C0108,50,40103,6,2,1,0
C0109,22,84772,6,8,1,0
C0110,59,34382,9,13,1,1
C0111,56,104291,9,8,0,0
C0112,58,23756,1,3,0,0
C0113,45,40609,1,3,0,0
C0114,24,36478,0,7,1,1
C0115,26,59666,9,1,0,0
C0116,25,95683,7,8,1,1
C0117,29,119097,7,13,1,0
C0118,51,91315,0,8,0,1
C0119,50,97834,7,15,0,0
C0120,40,34153,8,16,1,1
C0121,41,96325,3,15,1,0
C0122,54,32999,0,11,0,0
C0123,52,75318,0,2,0,0
C0124,61,20814,2,10,0,0
C0125,57,96077,4,13,1,0
C0126,39,110474,4,17,1,1
C0127,44,22443,8,4,1,0
C0128,52,95993,9,15,1,0
C0129,18,95916,1,19,1,0
